x y z
8.65158 -4.99499 0.0174355
7.38709 -4.26494 -0.0446635
7.23104 -4.17484 -0.0728665
7.18747 -4.14969 -0.1014
7.03126 -4.0595 -0.127544
6.7018 -3.86929 -0.148588
6.70131 -3.869 -0.175601
6.65745 -3.84368 -0.201301
6.53561 -3.77334 -0.22398
6.48296 -3.74294 -0.248333
10.1251 -5.80102 0.142572
10.2386 -5.86607 0.0205945
7.67017 -4.39453 -0.0462867
7.35763 -4.21546 -0.074001
7.2359 -4.14572 -0.101889
7.00998 -4.01628 -0.126916
6.74062 -3.86195 -0.149164
6.74013 -3.86167 -0.176281
6.60077 -3.78183 -0.199207
6.65217 -3.81127 -0.227539
6.48667 -3.71645 -0.248001
9.97038 -5.66857 0.140128
9.98813 -5.67866 0.100268
9.98838 -5.6788 0.0601612
9.62338 -5.47129 0.0193205
9.14526 -5.19945 -0.0183602
8.05851 -4.58159 -0.0485382
7.17972 -4.08196 -0.129743
7.04891 -4.00759 -0.155691
7.04839 -4.0073 -0.183995
6.67411 -3.7945 -0.201039
6.53443 -3.71509 -0.22309
6.55109 -3.72456 -0.249991
9.98814 -5.63722 0.140128
10.0059 -5.64726 0.100268
10.0062 -5.64739 0.0601612
9.64053 -5.44103 0.0193205
9.16155 -5.1707 -0.0183602
8.07286 -4.55625 -0.0485382
7.19251 -4.05939 -0.129743
7.06146 -3.98543 -0.155691
7.06094 -3.98513 -0.183995
6.686 -3.77352 -0.201039
6.54607 -3.69454 -0.22309
6.56276 -3.70396 -0.249991
12.2169 -6.84182 0.464504
11.2502 -6.30044 0.382694
10.2418 -5.73571 0.184405
9.77123 -5.47215 0.13683
9.3528 -5.23782 0.0935487
9.35303 -5.23795 0.0561295
8.89072 -4.97904 0.0177846
8.3585 -4.68098 -0.0167197
7.47719 -4.18743 -0.0448729
7.16231 -4.01109 -0.128957
6.98741 -3.91314 -0.153771
6.98689 -3.91285 -0.181726
6.78569 -3.80017 -0.203657
6.54956 -3.66793 -0.222793
6.54012 -3.66264 -0.248664
12.3095 -6.84011 0.467156
11.7079 -6.50585 0.397527
10.4421 -5.80243 0.312815
10.1633 -5.64753 0.263854
10.0947 -5.60943 0.18142
9.29111 -5.16287 0.129866
9.29145 -5.16306 0.0927633
8.32143 -4.62404 0.0498464
8.41768 -4.67753 0.0168072
8.22538 -4.57067 -0.016423
7.43859 -4.13347 -0.0445588
6.84345 -3.80276 -0.122989
6.59833 -3.66655 -0.14494
6.59784 -3.66628 -0.17129
6.79826 -3.77765 -0.203657
6.60537 -3.67047 -0.224276
6.67454 -3.7089 -0.253306
12.3321 -6.79925 0.467156
11.7294 -6.46699 0.397527
10.4612 -5.76777 0.312815
10.182 -5.6138 0.263854
10.1133 -5.57593 0.18142
9.30818 -5.13204 0.129866
9.30852 -5.13222 0.0927633
8.33672 -4.59642 0.0498464
8.43315 -4.64959 0.0168072
8.24049 -4.54337 -0.016423
7.45225 -4.10878 -0.0445588
6.85602 -3.78005 -0.122989
6.61045 -3.64465 -0.14494
6.60997 -3.64438 -0.17129
6.81075 -3.75508 -0.203657
6.61751 -3.64854 -0.224276
6.6868 -3.68675 -0.253306
11.8975 -6.51097 0.449916
11.9601 -6.54528 0.404647
10.7073 -5.85965 0.319621
10.4627 -5.72577 0.27066
9.49046 -5.19372 0.169954
8.47392 -4.63742 0.0505794
8.45648 -4.62787 0.0168247
8.13191 -4.45025 -0.0161786
7.91251 -4.33018 -0.0472292
6.84188 -3.74427 -0.0952919
6.76261 -3.70089 -0.121104
6.92884 -3.79186 -0.151659
6.92833 -3.79158 -0.179231
6.97159 -3.81525 -0.208107
6.74293 -3.69012 -0.228133
6.67205 -3.65133 -0.252311
12.1474 -6.59548 0.458536
12.175 -6.61051 0.411173
10.9287 -5.93382 0.325642
10.4289 -5.66242 0.269299
8.40045 -4.56108 0.150163
8.36622 -4.54249 0.0498464
8.34875 -4.533 0.0165803
8.3136 -4.51392 -0.0165102
8.15531 -4.42797 -0.0485905
6.88062 -3.73587 -0.0956584
6.8012 -3.69275 -0.121575
6.80079 -3.69253 -0.148588
6.80029 -3.69226 -0.175601
6.59765 -3.58223 -0.196589
6.71999 -3.64866 -0.226946
6.62264 -3.5958 -0.249991
12.1692 -6.55516 0.458536
12.1969 -6.5701 0.411173
10.9484 -5.89755 0.325642
10.4476 -5.6278 0.269299
8.41553 -4.53319 0.150163
8.38124 -4.51472 0.0498464
8.36374 -4.50529 0.0165803
8.32852 -4.48632 -0.0165102
8.16995 -4.4009 -0.0485905
6.89298 -3.71304 -0.0956584
6.81341 -3.67018 -0.121575
6.813 -3.66996 -0.148588
6.8125 -3.66969 -0.175601
6.6095 -3.56034 -0.196589
6.73205 -3.62635 -0.226946
6.63453 -3.57382 -0.249991
11.8559 -6.33577 0.445937
